Date,Open,High,Low,Close
2021-07-01,2237.34,2282.98,2076.48,2117.6
2021-07-02,2124.0,2138.73,2018.95,2089.0
2021-07-03,2089.0,2238.38,2088.37,2219.55
2021-07-04,2219.55,2371.52,2187.53,2350.42
2021-07-05,2350.42,2386.14,2159.84,2217.31
2021-07-06,2217.61,2347.96,2195.01,2310.85
2021-07-07,2307.34,2407.35,2272.51,2362.01
2021-07-08,2362.37,2362.37,2128.42,2137.8
2021-07-09,2137.8,2185.59,2049.52,2134.85
2021-07-10,2134.85,2190.85,2075.04,2095.08
2021-07-11,2113.51,2153.12,2081.9,2130.87
2021-07-12,2130.55,2171.69,2007.07,2026.57
2021-07-13,2026.57,2043.12,1917.89,1949.46
2021-07-14,1948.01,2017.49,1867.17,1989.35
2021-07-15,1988.93,2038.32,1881.02,1925.09
2021-07-16,1925.22,1961.49,1859.16,1902.35
2021-07-17,1897.88,1917.96,1852.15,1899.02
2021-07-18,1899.02,1990.0,1879.81,1895.28
2021-07-19,1892.97,1926.76,1806.92,1819.3
2021-07-20,1819.3,1838.65,1718.25,1794.03
2021-07-21,1794.03,2026.18,1755.03,1947.62
2021-07-22,1948.07,2044.0,1941.99,2016.29
2021-07-23,2016.37,2092.0,1997.67,2039.45
2021-07-24,2039.99,2199.0,2038.32,2151.04
2021-07-25,2152.47,2194.22,2109.25,2157.66
2021-07-26,2157.37,2429.17,2155.65,2260.97
2021-07-27,2257.95,2318.42,2153.94,2242.77
2021-07-28,2243.0,2343.29,2241.77,2301.1
2021-07-29,2298.19,2337.0,2266.5,2314.17
2021-07-30,2314.16,2449.06,2306.86,2419.57
2021-07-31,2420.1,2498.41,2417.69,2490.81
2021-08-01,2491.4,2698.14,2491.4,2670.0
2021-08-02,2671.0,2677.26,2512.19,2597.51
2021-08-03,2599.19,2636.0,2447.65,2487.41
2021-08-04,2486.08,2723.17,2460.32,2708.97
2021-08-05,2708.59,2825.89,2533.45,2803.67
2021-08-06,2809.35,2948.78,2722.05,2911.7
2021-08-07,2912.64,3173.53,2868.06,3081.75
2021-08-08,3081.48,3189.0,2952.24,2988.72
2021-08-09,2993.95,3186.63,2900.42,3071.56
2021-08-10,3069.2,3231.74,3035.51,3156.55
2021-08-11,3156.56,3272.74,3119.74,3236.2
2021-08-12,3234.77,3241.96,2982.53,3061.61
2021-08-13,3065.68,3296.78,2988.54,3281.0
2021-08-14,3284.08,3331.0,3210.37,3233.92
2021-08-15,3233.51,3287.85,3117.76,3261.22
2021-08-16,3268.23,3334.17,3139.85,3164.98
2021-08-17,3166.44,3292.1,3017.51,3072.0
2021-08-18,3070.53,3128.29,2954.23,3007.34
2021-08-19,3007.05,3163.23,2962.08,3157.16
2021-08-20,3158.58,3299.64,3145.37,3260.97
2021-08-21,3261.4,3309.99,3210.21,3226.38
2021-08-22,3226.38,3274.71,3131.0,3156.96
2021-08-23,3156.12,3378.21,3144.85,3339.98
2021-08-24,3339.92,3359.59,3150.01,3216.7
2021-08-25,3217.06,3250.0,3081.18,3210.0
2021-08-26,3210.0,3251.71,3058.83,3116.84
2021-08-27,3116.84,3275.51,3064.0,3264.37
2021-08-28,3265.28,3286.25,3214.42,3239.14
2021-08-29,3239.16,3284.56,3159.2,3236.0
2021-08-30,3236.0,3347.51,3146.06,3342.39
2021-08-31,3341.22,3472.31,3190.97,3392.83
2021-09-01,3392.41,3776.01,3374.38,3730.0
2021-09-02,3729.99,3841.52,3725.09,3811.26
2021-09-03,3808.77,4027.56,3715.41,3917.19
2021-09-04,3917.25,3970.01,3836.16,3880.55
2021-09-05,3880.48,3972.39,3836.7,3972.05
2021-09-06,3971.68,3980.59,3870.0,3949.99
2021-09-07,3952.0,3969.33,2963.48,3415.04
2021-09-08,3421.6,3541.54,3222.79,3473.72
2021-09-09,3478.99,3567.72,3396.27,3424.95
2021-09-10,3425.57,3512.95,3222.89,3250.96
2021-09-11,3244.49,3346.56,3153.38,3293.97
2021-09-12,3292.45,3468.57,3234.98,3316.89
2021-09-13,3316.54,3440.8,3116.0,3295.57
2021-09-14,3296.03,3409.2,3271.86,3377.76
2021-09-15,3376.41,3570.83,3334.99,3551.43
2021-09-16,3554.51,3674.37,3485.01,3487.77
2021-09-17,3494.84,3592.39,3366.69,3378.01
2021-09-18,3374.78,3539.62,3352.3,3398.69
2021-09-19,3398.69,3456.0,3308.56,3359.13
2021-09-20,3358.98,3364.47,2925.03,3019.11
2021-09-21,3032.76,3105.01,2755.01,2765.16
2021-09-22,2765.16,3090.0,2668.0,3026.36
2021-09-23,3026.74,3173.94,3015.7,3142.44
2021-09-24,3142.7,3162.69,2745.22,2947.01
2021-09-25,2946.69,2983.0,2801.01,2927.45
2021-09-26,2924.68,3099.21,2740.67,3088.41
2021-09-27,3091.84,3165.76,2960.88,2974.94
2021-09-28,2974.94,3029.77,2806.54,2863.28
2021-09-29,2862.64,2948.52,2783.03,2820.49
2021-09-30,2820.19,3049.0,2805.81,2972.8
2021-10-01,2972.8,3315.8,2965.69,3293.01
2021-10-02,3294.08,3465.26,3259.29,3428.74
2021-10-03,3428.74,3485.29,3343.31,3426.97
2021-10-04,3427.46,3437.5,3278.34,3384.3
2021-10-05,3384.3,3533.79,3356.61,3533.79
2021-10-06,3526.66,3628.01,3349.96,3560.16
2021-10-07,3563.33,3641.24,3472.02,3623.58
2021-10-08,3623.95,3670.7,3538.26,3554.29
2021-10-09,3552.8,3629.63,3540.37,3579.31
2021-10-10,3579.31,3604.01,3487.73,3512.75
2021-10-11,3515.01,3620.0,3379.63,3493.73
2021-10-12,3490.01,3545.0,3405.83,3476.8
2021-10-13,3477.47,3584.99,3413.34,3576.0
2021-10-14,3577.86,3821.09,3569.86,3759.36
2021-10-15,3759.36,3900.0,3735.99,3879.87
2021-10-16,3879.98,3968.86,3808.5,3831.77
2021-10-17,3830.1,3915.31,3651.54,3700.98
2021-10-18,3702.37,3893.93,3684.74,3739.16
2021-10-19,3735.25,3854.96,3717.18,3809.34
2021-10-20,3809.01,4135.43,3803.8,4107.96
2021-10-21,4107.96,4366.5,4027.0,4089.19
2021-10-22,4090.18,4162.58,3890.0,3975.35
2021-10-23,3976.87,4124.33,3930.11,4089.33
2021-10-24,4089.47,4184.4,3964.49,4063.12
2021-10-25,4065.99,4232.98,4063.13,4180.8
2021-10-26,4180.8,4292.51,4137.46,4262.82
2021-10-27,4261.77,4312.84,3944.54,3984.14
2021-10-28,3984.15,4290.1,3900.46,4257.6
2021-10-29,4251.75,4457.01,4220.0,4409.1
2021-10-30,4403.43,4433.17,4250.11,4311.57
2021-10-31,4311.4,4394.0,4171.6,4269.5
2021-11-01,4269.51,4379.69,4160.0,4310.99
2021-11-02,4313.35,4532.4,4279.91,4505.48
2021-11-03,4504.17,4665.02,4459.9,4618.0
2021-11-04,4618.01,4626.85,4423.32,4517.22
2021-11-05,4516.57,4573.66,4450.01,4453.68
2021-11-06,4454.25,4517.77,4334.0,4488.09
2021-11-07,4487.09,4638.08,4487.09,4629.0
2021-11-08,4629.0,4794.99,4595.0,4773.85
2021-11-09,4774.43,4838.98,4715.51,4800.0
2021-11-10,4800.0,4865.81,4507.16,4557.49
2021-11-11,4543.57,4779.81,4534.19,4743.2
2021-11-12,4743.69,4804.99,4510.0,4655.12
2021-11-13,4655.93,4704.8,4589.1,4652.4
2021-11-14,4653.33,4690.73,4520.0,4576.79
2021-11-15,4576.79,4768.63,4544.62,4572.81
2021-11-16,4571.8,4586.86,4124.77,4257.79
2021-11-17,4257.54,4298.99,4069.91,4253.17
2021-11-18,4253.17,4343.0,3958.99,4022.41
2021-11-19,4023.62,4309.9,3960.01,4279.0
2021-11-20,4284.06,4433.39,4212.18,4433.39
2021-11-21,4433.53,4438.13,4308.1,4369.45
2021-11-22,4366.0,4370.41,4026.22,4078.51
2021-11-23,4079.99,4385.99,4068.57,4351.45
2021-11-24,4353.67,4371.83,4170.08,4257.24
2021-11-25,4257.58,4530.85,4240.63,4500.0
2021-11-26,4500.31,4552.35,3924.3,4078.31
2021-11-27,4073.9,4184.99,4031.71,4080.89
2021-11-28,4080.89,4258.78,3971.17,4256.95
2021-11-29,4260.4,4460.4,4223.17,4453.8
2021-11-30,4453.01,4747.85,4352.23,4627.16
2021-12-01,4627.41,4778.67,4539.47,4569.99
2021-12-02,4569.99,4633.66,4437.1,4545.44
2021-12-03,4546.81,4656.95,4053.03,4218.61
2021-12-04,4207.42,4251.1,3521.01,4066.1
2021-12-05,4065.98,4250.76,4040.11,4153.22
2021-12-06,4150.43,4352.68,3925.69,4324.65
2021-12-07,4335.07,4426.89,4270.01,4292.32
2021-12-08,4292.42,4454.4,4234.92,4418.54
